"Solubility, g¡¤l-1",Saturation,"Temperature (Solubility (MCS)), ¡ãC",Solvent (Solubility (MCS)),Ratio of Solvents,Location,Comment (Solubility (MCS)),Reference
,in pure solvent,19.64,"water, ethanol",water (6.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.12071 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,"water, ethanol",water (6.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.13452 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,"water, ethanol",water (6.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.14314 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,"water, ethanol",water (6.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.1504 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,"water, ethanol",water (7.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.17074 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,"water, ethanol",water (8.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.17982 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,"water, ethanol",water (9.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.18828 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,"water, ethanol",water (10.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.20264 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,"water, ethanol",water (11.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.22375 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,"water, ethanol",water (12.7 molpercent); ethanol (93.3 molpercent),,Solubility: 0.23363 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,19.64,ethanol,,,Solubility: 0.135 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,25.44,ethanol,,,Solubility: 0.153 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,30.04,ethanol,,,Solubility: 0.165 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,35.44,ethanol,,,Solubility: 0.178 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,40.94,ethanol,,,Solubility: 0.193 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,45.64,ethanol,,,Solubility: 0.207 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,49.04,ethanol,,,Solubility: 0.218 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,52.44,ethanol,,,Solubility: 0.23 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,58.04,ethanol,,,Solubility: 0.25 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
,in pure solvent,60.64,ethanol,,,Solubility: 0.255 molpercent,"Razmara, Reza S.;?Daneshfar, Ali;?Sahraei, Reza[Journal of Chemical and Engineering Data,?2010, vol. 55, # 9, p. 3934 - 3936]"
,,,,,,,Full Text
,,,,,,,Cited 70 timesDetailsAbstract
0.00108806,in pure solvent,25,H2O,,,,"Shimoda, Kei;?Kobayashi, Tatsunari;?Akagi, Masaaki;?Hamada, Hatsuyuki;?Hamada, Hiroki[Chemistry Letters,?2008, vol. 37, # 8, p. 876 - 877]"
,,,,,,,Full Text
,,,,,,,Cited 20 timesDetailsAbstract
0.0387169,in pure solvent,25,water,,,,"Lucas-Abellan, Carmen;?Fortea, Isabel;?Gabaldon, Jose Antonio;?Nunez-Delicado, Estrella[Journal of Agricultural and Food Chemistry,?2008, vol. 56, # 1, p. 255 - 259]"
,,,,,,,Full Text
,,,,,,,Cited 82 timesDetailsAbstract
1.6321,in solution,50,acetonitrile,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
1.69254,in solution,50,acetonitrile,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
2.05523,in solution,60,acetonitrile,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
2.13079,in solution,70,acetonitrile,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
20.2531,in solution,50,2-methyl-butan-2-ol,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
24.2034,in solution,50,acetone,,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
1.90109,in solution,50,"acetonitrile, various solvent(s)",,,,"Chebil, Latifa;?Humeau, Catherine;?Anthony, Julie;?Dehez, Francois;?Engasser, Jean-Marc;?Ghoul, Mohamed[Journal of Chemical and Engineering Data,?2007, vol. 52, # 5, p. 1552 - 1556]"
,,,,,,,Full Text
,,,,,,,Cited 189 timesDetailsAbstract
,,35.05,liquid carbon dioxide,,,"density dependence. Object(s) of Study: pressure dependence. Object(s) of Study: diagram, Solubility: 0.00061 mol-percent","Matsuyama, Kiyoshi;?Mishima, Kenji;?Ohdate, Ryugen;?Chidori, Masuhiro;?Yang, Huai[Journal of Chemical and Engineering Data,?2003, vol. 48, # 4, p. 1040 - 1043]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
,,45.05,liquid carbon dioxide,,,"density dependence. Object(s) of Study: pressure dependence. Object(s) of Study: diagram, Solubility: 0.000542 mol-percent","Matsuyama, Kiyoshi;?Mishima, Kenji;?Ohdate, Ryugen;?Chidori, Masuhiro;?Yang, Huai[Journal of Chemical and Engineering Data,?2003, vol. 48, # 4, p. 1040 - 1043]"
,,,,,,,Full Text
,,,,,,,Cited 17 timesDetailsAbstract
10,in solution,50,methanol,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
20,in solution,94,,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
40,in solution,20,acetone,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
40,in solution,20,pyridine,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
40,in solution,20,quinoline,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
40,in solution,20,aniline,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
40,in solution,94,glycerol,,,,"Wester[Recueil des Travaux Chimiques des Pays-Bas,?1921, vol. 40, p. 707,710]"
,,,,,,,Full Text
,,,,,,,Details
,,,ethanol,,,1 part(s) of substance.dissolves in:18.2 parts of solvent.in boiling solvent.,"Stein[Jahresbericht ueber die Fortschritte der Chemie und Verwandter Theile Anderer Wissenschaften,?1862, p. 499]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,,"Stein[Journal fur praktische Chemie (Leipzig 1954),?1862, vol. <1> 85, p. 364][Zeitschrift fuer Chemie,?1862, p. 367]"
,,,,,,,Full Text
,,,,,,,Details
,,,ethanol,,,1 part(s) of substance.dissolves in:229.2 parts of solvent.,"Stein[Jahresbericht ueber die Fortschritte der Chemie und Verwandter Theile Anderer Wissenschaften,?1862, p. 499]"
,,,,,,,Full Text
,,,,,,,Details
,,,,,,,"Stein[Journal fur praktische Chemie (Leipzig 1954),?1862, vol. <1> 85, p. 364][Zeitschrift fuer Chemie,?1862, p. 367]"
,,,,,,,Full Text
,,,,,,,Details
